[2022-03-15 01:03:20,747] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: madrid |Zipcode: 28030 | Orden del dataframe: 77
[{2164818226.py:58} INFO - Sin procesar |City: madrid |Zipcode: 28030 | Orden del dataframe: 77
[2022-03-15 01:03:20,748] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: madrid |Zipcode: 28030 | Orden del dataframe: 78
[{2164818226.py:58} INFO - Sin procesar |City: madrid |Zipcode: 28030 | Orden del dataframe: 78
[2022-03-15 01:03:20,748] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: SANTANDER |Zipcode: 39006 | Orden del dataframe: 79
[{2164818226.py:58} INFO - Sin procesar |City: SANTANDER |Zipcode: 39006 | Orden del dataframe: 79
[2022-03-15 01:03:20,749] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: SANTANDER |Zipcode: 39006 | Orden del dataframe: 80
[{2164818226.py:58} INFO - Sin procesar |City: SANTANDER |Zipcode: 39006 | Orden del dataframe: 80
[2022-03-15 01:03:20,749] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: SANTANDER |Zipcode: 39006 | Orden del dataframe: 81
[{2164818226.py:58} INFO - Sin procesar |City: SANTANDER |Zipcode: 39006 | Orden del dataframe: 81
[2022-03-15 01:03:20,750] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: SANTANDER |Zipcode: 39006 | Orden del dataframe: 82
[{2164818226.py:58} INFO - Sin procesar |City: SANTANDER |Zipcode: 39006 | Orden del dataframe: 82
[2022-03-15 01:03:20,751] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: sant joan despi |Zipcode: 08970 | Orden del dataframe: 83
[{2164818226.py:58} INFO - Sin procesar |City: sant joan despi |Zipcode: 08970 | Orden del dataframe: 83
[2022-03-15 01:03:20,751] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: sant joan despi |Zipcode: 08970 | Orden del dataframe: 84
[{2164818226.py:58} INFO - Sin procesar |City: sant joan despi |Zipcode: 08970 | Orden del dataframe: 84
[2022-03-15 01:03:20,752] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: sant joan despi |Zipcode: 08970 | Orden del dataframe: 85
[{2164818226.py:58} INFO - Sin procesar |City: sant joan despi |Zipcode: 08970 | Orden del dataframe: 85
[2022-03-15 01:03:20,753] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: sant joan despi |Zipcode: 08970 | Orden del dataframe: 86
[{2164818226.py:58} INFO - Sin procesar |City: sant joan despi |Zipcode: 08970 | Orden del dataframe: 86
[2022-03-15 01:03:20,754] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: lepe |Zipcode: 21440 | Orden del dataframe: 87
[{2164818226.py:58} INFO - Sin procesar |City: lepe |Zipcode: 21440 | Orden del dataframe: 87
[2022-03-15 01:03:20,754] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: lepe |Zipcode: 21440 | Orden del dataframe: 88
[{2164818226.py:58} INFO - Sin procesar |City: lepe |Zipcode: 21440 | Orden del dataframe: 88
[2022-03-15 01:03:20,754] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: lepe |Zipcode: 21440 | Orden del dataframe: 89
[{2164818226.py:58} INFO - Sin procesar |City: lepe |Zipcode: 21440 | Orden del dataframe: 89
[2022-03-15 01:03:20,755] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: lepe |Zipcode: 21440 | Orden del dataframe: 90
[{2164818226.py:58} INFO - Sin procesar |City: lepe |Zipcode: 21440 | Orden del dataframe: 90
[2022-03-15 01:03:20,755] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: lepe |Zipcode: 21440 | Orden del dataframe: 91
[{2164818226.py:58} INFO - Sin procesar |City: lepe |Zipcode: 21440 | Orden del dataframe: 91
[2022-03-15 01:03:20,756] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: lepe |Zipcode: 21440 | Orden del dataframe: 92
[{2164818226.py:58} INFO - Sin procesar |City: lepe |Zipcode: 21440 | Orden del dataframe: 92
[2022-03-15 01:03:20,756] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: sevilla |Zipcode: 41010 | Orden del dataframe: 93
[{2164818226.py:58} INFO - Sin procesar |City: sevilla |Zipcode: 41010 | Orden del dataframe: 93
[2022-03-15 01:03:20,756] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: sevilla |Zipcode: 41010 | Orden del dataframe: 94
[{2164818226.py:58} INFO - Sin procesar |City: sevilla |Zipcode: 41010 | Orden del dataframe: 94
[2022-03-15 01:03:20,757] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: sevilla |Zipcode: 41010 | Orden del dataframe: 95
[{2164818226.py:58} INFO - Sin procesar |City: sevilla |Zipcode: 41010 | Orden del dataframe: 95
[2022-03-15 01:03:20,757] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: sevilla |Zipcode: 41010 | Orden del dataframe: 96
[{2164818226.py:58} INFO - Sin procesar |City: sevilla |Zipcode: 41010 | Orden del dataframe: 96
[2022-03-15 01:03:20,758] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Almeria |Zipcode: 04004 | Orden del dataframe: 97
[{2164818226.py:58} INFO - Sin procesar |City: Almeria |Zipcode: 04004 | Orden del dataframe: 97
[2022-03-15 01:03:20,758] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Almeria |Zipcode: 04004 | Orden del dataframe: 98
[{2164818226.py:58} INFO - Sin procesar |City: Almeria |Zipcode: 04004 | Orden del dataframe: 98
[2022-03-15 01:03:20,759] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Almeria |Zipcode: 04004 | Orden del dataframe: 99
[{2164818226.py:58} INFO - Sin procesar |City: Almeria |Zipcode: 04004 | Orden del dataframe: 99
[2022-03-15 01:03:20,759] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Almeria |Zipcode: 04004 | Orden del dataframe: 100
[{2164818226.py:58} INFO - Sin procesar |City: Almeria |Zipcode: 04004 | Orden del dataframe: 100
